fixed acidity,volatile acidity,pH,sulphates,alcohol,quality
7.4,0.7,3.51,0.56,9.4,5
7.8,0.88,3.2,0.68,9.8,5
7.8,0.76,3.26,0.65,9.8,5
11.2,0.28,3.16,0.58,9.8,6
7.4,0.7,3.51,0.56,9.4,5
7.4,0.66,3.51,0.56,9.4,5
7.9,0.6,3.3,0.46,9.4,5
7.3,0.65,3.39,0.47,10,7
7.8,0.58,3.36,0.57,9.5,7
7.5,0.5,3.35,0.8,10.5,5
6.7,0.58,3.28,0.54,9.2,5
7.5,0.5,3.35,0.8,10.5,5
5.6,0.615,3.58,0.52,9.9,5
7.8,0.61,3.26,1.56,9.1,5
8.9,0.62,3.16,0.88,9.2,5
8.9,0.62,3.17,0.93,9.2,5
8.5,0.28,3.3,0.75,10.5,7
8.1,0.56,3.11,1.28,9.3,5
7.4,0.59,3.38,0.5,9,4
7.9,0.32,3.04,1.08,9.2,6
8.9,0.22,3.39,0.53,9.4,6
7.6,0.39,3.52,0.65,9.7,5
7.9,0.43,3.17,0.91,9.5,5
8.5,0.49,3.17,0.53,9.4,5
6.9,0.4,3.43,0.63,9.7,6
6.3,0.39,3.34,0.56,9.3,5
7.6,0.41,3.28,0.59,9.5,5
7.9,0.43,3.17,0.91,9.5,5
7.1,0.71,3.47,0.55,9.4,5
7.8,0.645,3.38,0.59,9.8,6
6.7,0.675,3.35,0.54,10.1,5
6.9,0.685,3.46,0.57,10.6,6
8.3,0.655,3.17,0.66,9.8,5
6.9,0.605,3.45,0.52,9.4,6
5.2,0.32,3.38,0.55,9.2,5
7.8,0.645,3.4,0.55,9.6,6
7.8,0.6,3.42,0.6,10.8,6
8.1,0.38,3.23,0.73,9.7,7
5.7,1.13,3.5,0.48,9.8,4
7.3,0.45,3.33,0.83,10.5,5
7.3,0.45,3.33,0.83,10.5,5
8.8,0.61,3.26,0.51,9.3,4
7.5,0.49,3.21,0.9,10.5,6
8.1,0.66,3.3,1.2,10.3,5
6.8,0.67,3.48,0.52,9.5,5
4.6,0.52,3.9,0.56,13.1,4
7.7,0.935,3.25,0.73,9.2,5
8.7,0.29,3.25,0.58,9.5,5
6.4,0.4,3.34,0.56,9.2,5
5.6,0.31,3.32,0.58,9.2,5
8.8,0.66,3.15,0.74,9.2,5
6.6,0.52,3.4,0.63,9.4,6
6.6,0.5,3.39,0.64,9.4,6
8.6,0.38,3.2,0.56,9.4,5
7.6,0.51,3.17,0.63,10.2,6
7.7,0.62,3.34,0.53,9.5,5
10.2,0.42,3.04,0.63,9.6,5
7.5,0.63,3.26,0.77,9.4,5
7.8,0.59,3.43,0.59,10,5
7.3,0.39,3.41,0.54,9.4,6
8.8,0.4,3.44,0.64,9.2,5
7.7,0.69,3.21,0.71,9.3,5
7.5,0.52,3.38,0.62,9.5,7
7,0.735,3.39,0.57,9.8,5
7.2,0.725,3.41,0.39,10.9,5
7.2,0.725,3.41,0.39,10.9,5
7.5,0.52,3.42,0.58,9.6,5
6.6,0.705,3.44,0.58,10.7,5
9.3,0.32,3.28,0.79,10.7,5
8,0.705,3.34,0.95,10.5,6
7.7,0.63,3.32,0.54,9.5,6
7.7,0.67,3.32,0.48,9.5,5
7.7,0.69,3.31,0.48,9.5,5
8.3,0.675,3.31,0.53,9.2,4
9.7,0.32,3.28,0.82,9.6,5
8.8,0.41,3.54,0.66,10.5,5
8.8,0.41,3.54,0.66,10.5,5
6.8,0.785,3.52,0.55,10.7,6
6.7,0.75,3.38,0.52,10.1,5
8.3,0.625,3.16,1.12,9.1,4
6.2,0.45,3.41,0.56,9.2,5
7.8,0.43,3.13,1.28,9.4,5
7.4,0.5,3.36,0.57,9.1,5
7.3,0.67,3.16,1.14,9.4,5
6.3,0.3,3.44,0.78,10.3,6
6.9,0.55,3.41,0.59,10.1,5
8.6,0.49,2.93,1.95,9.9,6
7.7,0.49,3.39,0.64,9.6,5
9.3,0.39,3.14,1.22,9.5,5
7,0.62,3.48,0.53,9,5
7.9,0.52,3.23,0.54,9.5,5
8.6,0.49,2.93,1.95,9.9,6
8.6,0.49,2.93,1.98,9.8,5
7.7,0.49,3.39,0.64,9.6,5
5,1.02,3.75,0.48,10.5,4
4.7,0.6,3.85,0.6,12.9,6
6.8,0.775,3.45,0.56,10.7,5
7,0.5,3.25,0.63,9.2,5
7.6,0.9,3.39,0.56,9.8,5
8.1,0.545,3.3,0.59,9,6
8.3,0.61,3.4,0.61,10.2,6
7.8,0.5,3.31,0.56,10.4,6
8.1,0.545,3.3,0.59,9,6
8.1,0.575,3.29,0.51,9.2,5
7.2,0.49,3.33,0.48,9.4,5
8.1,0.575,3.29,0.51,9.2,5
7.8,0.41,3.08,1.31,9.3,5
6.2,0.63,3.46,0.79,9.3,5
8,0.33,3.37,0.8,9.6,6
8.1,0.785,3.21,0.69,9.3,5
7.8,0.56,3.19,0.93,9.5,5
8.4,0.62,3.15,0.66,9.8,5
8.4,0.6,3.15,0.66,9.8,5
10.1,0.31,3.32,0.67,9.7,6
7.8,0.56,3.19,0.93,9.5,5
9.4,0.4,3.07,0.63,10.5,6
8.3,0.54,3.39,0.61,10,6
7.8,0.56,3.37,0.5,9.4,6
8.8,0.55,3.21,0.6,10.9,6
7,0.69,3.34,0.54,9.2,6
7.3,1.07,3.3,0.57,9,5
8.8,0.55,3.21,0.6,10.9,6
7.3,0.695,3.49,0.52,9.2,5
8,0.71,3.44,0.53,9.5,5
7.8,0.5,3.39,0.48,9.5,5
9,0.62,3.16,0.7,9.4,5
8.2,1.33,3.53,0.49,10.9,5
8.1,1.33,3.54,0.48,10.9,5
8,0.59,3.42,0.92,10.5,7
6.1,0.38,3.42,0.57,9.4,5
8,0.745,3.24,0.66,9.4,5
5.6,0.5,3.63,0.63,13,5
5.6,0.5,3.63,0.63,13,5
6.6,0.5,3.4,0.58,9.8,6
7.9,1.04,3.22,0.55,9.9,6
8.4,0.745,3.19,0.82,9.6,5
8.3,0.715,3.23,0.77,9.5,5
7.2,0.415,3.48,0.64,9.2,5
7.8,0.56,3.33,0.54,9.5,5
7.8,0.56,3.32,0.54,9.5,5
8.4,0.745,3.19,0.82,9.6,5
8.3,0.715,3.23,0.77,9.5,5
5.2,0.34,3.68,0.79,14,6
6.3,0.39,3.34,0.58,9.4,5
5.2,0.34,3.68,0.79,14,6
8.1,0.67,3.17,0.62,9.4,5
5.8,0.68,3.54,0.52,10,5
7.6,0.49,3.11,0.8,9.3,5
6.9,0.49,3.42,0.58,10.2,6
8.2,0.4,3.53,0.61,10.5,6
7.3,0.33,3.33,0.53,10.3,6
9.2,0.52,2.74,2,9.4,4
7.5,0.6,3.35,0.54,10.1,5
7.5,0.6,3.35,0.54,10.1,5
7.1,0.43,3.42,0.72,10.5,5
7.1,0.43,3.42,0.71,10.5,5
7.1,0.43,3.42,0.72,10.5,5
7.1,0.43,3.42,0.71,10.5,5
7.1,0.68,3.48,0.5,9.3,5
6.8,0.6,3.59,0.57,9.3,6
7.6,0.95,3.2,0.56,9.6,5
7.6,0.68,3.17,1.08,9.2,4
7.8,0.53,3.33,0.56,10,6
7.4,0.6,3.37,0.49,9.4,5
7.3,0.59,3.37,0.49,9.4,5
7.8,0.63,3.19,0.62,9.5,5
6.8,0.64,3.34,0.52,10.2,5
7.3,0.55,3.37,0.48,9,4
6.8,0.63,3.47,0.55,10.4,6
7.5,0.705,3,1.59,9.5,5
7.9,0.885,3.36,0.33,9.1,4
8,0.42,3.29,0.61,9.2,6
8,0.42,3.29,0.61,9.2,6
7.4,0.62,3.42,0.57,11.5,6
7.3,0.38,3.33,0.47,9.5,5
6.9,0.5,3.35,0.78,9.5,5
7.3,0.38,3.33,0.47,9.5,5
7.5,0.52,3.58,0.61,10.5,6
7,0.805,3.48,0.56,9.6,5
8.8,0.61,3.19,0.59,9.5,5
8.8,0.61,3.19,0.59,9.5,5
8.9,0.61,3.12,1.02,9.3,5
7.2,0.73,3.44,0.52,9.3,5
6.8,0.61,3.54,0.58,9.3,5
6.7,0.62,3.52,0.58,9.3,6
8.9,0.31,3.26,0.53,9.7,5
7.4,0.39,3.34,0.55,9.2,5
7.7,0.705,3.39,0.49,9.7,5
7.9,0.5,3.2,0.55,9.5,5
7.9,0.49,3.2,0.55,9.5,5
8.2,0.5,3.23,0.62,9.4,5
6.4,0.37,3.57,0.62,9.8,6
6.8,0.63,3.28,0.61,9.5,5
7.6,0.55,3.28,0.55,9.7,5
7.6,0.55,3.28,0.55,9.7,5
7.8,0.59,3.25,0.54,9.4,5
7.3,0.58,3.46,0.59,10.2,5
11.5,0.3,3.11,0.97,10.1,6
5.4,0.835,3.57,0.85,13,7
6.9,1.09,3.51,0.43,11.4,4
9.6,0.32,3.22,0.82,10.3,7
8.8,0.37,3.04,1.03,9.3,5
6.8,0.5,3.36,0.79,9.5,5
7,0.42,3.34,0.55,9.2,5
7,0.43,3.34,0.56,9.2,6
12.8,0.3,3.2,0.77,10.8,7
12.8,0.3,3.2,0.77,10.8,7
7.8,0.57,3.29,0.53,9.3,5
7.8,0.44,3.22,0.67,9.4,5
11,0.3,3.31,0.88,10.5,7
9.7,0.53,3.3,0.86,12.4,6
8,0.725,3.35,0.56,10,6
11.6,0.44,3.21,0.67,10.2,6
8.2,0.57,3.3,0.43,10.1,5
7.8,0.735,3.24,0.71,9.8,6
7,0.49,3.34,0.76,10.5,5
8.7,0.625,3.14,0.57,11,5
8.1,0.725,3.36,0.55,9.1,5
7.5,0.49,3.39,0.54,9.7,5
7.8,0.53,3.3,0.6,9.5,5
7.8,0.34,3.34,0.59,9.4,6
7.4,0.53,3.15,0.57,9.4,5
6.8,0.61,3.42,0.6,9.5,5
8.6,0.645,3.28,0.6,10,6
8.4,0.635,3.31,0.57,10.4,4
7.7,0.43,3.37,0.58,10.5,6
8.9,0.59,3.04,1.61,9.5,6
9,0.82,3.39,0.63,9.8,5
7.7,0.43,3.37,0.58,10.5,6
6.9,0.52,3.46,0.5,11,5
5.2,0.48,3.54,0.62,12.2,7
8,0.38,3.37,0.52,9.9,6
8.5,0.37,3.34,0.7,9.6,6
6.9,0.52,3.46,0.5,11,5
8.2,1,3.32,0.55,9,6
7.2,0.63,3.37,0.58,9,6
7.2,0.63,3.37,0.58,9,6
7.2,0.645,3.37,0.58,9.2,6
7.2,0.63,3.37,0.58,9,6
8.2,1,3.32,0.55,9,6
8.9,0.635,3,1.09,9.3,5
12,0.38,3.14,0.71,10.9,6
7.7,0.58,3.08,0.49,9.8,6
15,0.21,3.07,0.84,9.2,7
15,0.21,3.07,0.84,9.2,7
7.3,0.66,3.61,0.96,9.9,6
7.1,0.68,3.38,0.52,9.5,5
8.2,0.6,3.2,0.45,9.3,5
7.7,0.53,3.35,0.48,9.8,6
7.3,0.66,3.61,0.96,9.9,6
10.8,0.32,3.22,0.78,10,6
7.1,0.6,3.47,0.7,9.9,6
11.1,0.35,3.17,0.53,10.5,5
7.7,0.775,3.23,0.59,9.5,5
7.1,0.6,3.47,0.7,9.9,6
8,0.57,3.26,0.57,9.3,5
9.4,0.34,3.22,0.62,9.2,5
6.6,0.695,3.49,0.67,9.2,5
7.7,0.41,3.06,1.26,9.4,5
10,0.31,3.36,0.8,10.5,7
7.9,0.33,3.29,0.65,9.3,5
7,0.975,3.35,0.6,9.4,4
8,0.52,3.34,0.57,10,5
7.9,0.37,3.28,0.67,9.3,5
12.5,0.56,3.08,0.87,10.9,5
11.8,0.26,3.2,0.72,10.2,7
8.1,0.87,3.6,0.72,9.8,4
7.9,0.35,3.35,0.86,12.8,8
6.9,0.54,3.69,0.91,9.4,6
11.5,0.18,3.28,0.97,10.1,6
7.9,0.545,3.36,0.67,10.7,6
11.5,0.18,3.28,0.97,10.1,6
10.9,0.37,3.22,0.78,10.1,5
8.4,0.715,3.31,0.64,9.4,5
7.5,0.65,3.38,0.77,9.4,5
7.9,0.545,3.36,0.67,10.7,6
6.9,0.54,3.69,0.91,9.4,6
11.5,0.18,3.28,0.97,10.1,6
10.3,0.32,3.23,0.82,12.6,8
8.9,0.4,3.38,0.77,10.5,7
11.4,0.26,3.12,0.82,9.3,6
7.7,0.27,3.25,1.08,9.9,7
7.6,0.52,3.36,0.57,9.1,5
8.9,0.4,3.38,0.77,10.5,7
9.9,0.59,3.31,0.71,9.8,5
9.9,0.59,3.31,0.71,9.8,5
12,0.45,3.1,0.76,10.3,6
7.5,0.4,3.37,0.7,10.3,6
8.7,0.52,3.34,0.86,10.6,7
11.6,0.42,3.2,0.95,9.2,5
8.7,0.52,3.34,0.86,10.6,7
11,0.2,3.3,0.71,10.5,5
10.4,0.55,3.22,0.64,10.3,6
6.9,0.36,3.41,0.6,10.1,6
13.3,0.34,3.05,0.81,9.5,6
10.8,0.5,3.05,0.64,9.5,5
10.6,0.83,3.16,0.52,9.9,5
7.1,0.63,3.67,0.73,9.6,5
7.2,0.65,3.67,0.8,9.7,5
6.9,0.67,3.68,0.71,9.6,5
7.5,0.53,3.38,0.59,10.7,6
11.1,0.18,3.22,0.64,10.1,6
8.3,0.705,3.51,0.72,10,5
7.4,0.67,3.39,0.54,9.5,5
8.4,0.65,3.2,0.52,9.2,5
10.3,0.53,3.12,0.59,9.3,6
7.6,0.62,3.36,0.52,9.4,5
10.3,0.41,3.19,0.62,9.5,6
10.3,0.43,3.19,0.63,9.5,6
7.4,0.29,3.41,0.53,9.5,6
10.3,0.53,3.12,0.59,9.3,6
7.9,0.53,3.27,0.54,9.4,6
9,0.46,3.32,0.63,9.5,6
8.6,0.47,3.3,0.53,9.4,5
7.4,0.36,3.39,0.68,11,5
7.1,0.35,3.42,0.65,11,6
9.6,0.56,3.3,0.65,10.1,5
9.6,0.77,3.3,0.64,10.4,6
9.8,0.66,3.37,0.71,11.5,7
9.6,0.77,3.3,0.64,10.4,6
9.8,0.66,3.37,0.71,11.5,7
9.3,0.61,3.24,0.62,9.7,5
7.8,0.62,3.29,0.63,9.3,5
10.3,0.59,3.28,0.7,9.5,6
10,0.49,3.16,0.69,9.2,6
10,0.49,3.16,0.69,9.2,6
11.6,0.53,3.05,0.74,11.5,7
10.3,0.44,3.28,0.83,11.5,5
13.4,0.27,3.16,0.67,9.7,6
10.7,0.46,3.18,0.62,9.5,5
10.2,0.36,3.23,0.66,12.5,6
10.2,0.36,3.23,0.66,12.5,6
8,0.58,3.22,0.54,9.4,6
8.4,0.56,3.13,0.52,11,5
7.9,0.65,3.34,0.74,11.7,7
11.9,0.695,3.17,0.84,12.2,7
8.9,0.43,3.35,0.7,12.5,6
7.8,0.43,3.31,0.64,10.3,5
12.4,0.49,3.16,1,11.5,6
12.5,0.28,3.11,1.36,9.8,7
12.2,0.34,3.12,1.18,9.2,6
10.6,0.42,3.21,0.87,11.3,6
10.9,0.39,3.3,0.75,9.8,6
10.9,0.39,3.3,0.75,9.8,6
11.9,0.57,3.12,0.78,10.7,6
7,0.685,3.6,0.81,9.9,5
6.6,0.815,3.58,0.89,12.3,7
13.8,0.49,3.02,0.93,12,6
9.6,0.56,3.11,0.92,10,6
9.1,0.785,3.36,0.86,9.4,6
10.7,0.67,3.28,0.98,9.9,6
9.1,0.795,3.35,0.83,9.4,6
7.7,0.665,3.27,0.73,9.3,5
13.5,0.53,3.18,0.77,13,5
6.1,0.21,3.25,0.59,11.9,6
6.7,0.75,3.55,0.61,12.8,6
11.5,0.41,3.26,0.88,11,5
10.5,0.42,3.24,0.75,11.7,7
11.9,0.43,3.15,0.85,10.4,7
12.6,0.38,3.17,0.68,9.8,6
8.2,0.7,3.19,0.7,9.4,5
8.6,0.45,3.37,0.91,9.9,6
11.9,0.58,3.05,0.56,10,5
12.5,0.46,2.99,0.87,10.2,5
12.8,0.615,3.07,0.73,10,7
10,0.42,3.26,0.93,11.8,6
12.8,0.615,3.07,0.73,10,7
10.4,0.575,3.16,0.69,9,5
10.3,0.34,3.18,0.64,9.4,5
9.4,0.27,3.2,1.13,12,7
6.9,0.765,3.57,0.78,9.9,5
7.9,0.24,3.32,0.87,8.7,6
9.1,0.28,3.32,1.04,10.6,6
7.4,0.55,3.05,0.63,9.2,5
14,0.41,3.01,0.81,10.8,6
11.5,0.54,3.01,0.83,11.8,7
11.5,0.45,3.26,1.11,11,6
9.4,0.27,3.2,1.13,12,7
11.4,0.625,3.11,0.99,13.3,6
8.3,0.42,3.31,0.7,10.8,6
8.3,0.26,3.21,0.8,9.4,6
13.7,0.415,3.06,0.8,10,6
8.3,0.26,3.21,0.8,9.4,6
8.3,0.26,3.21,0.8,9.4,6
7.7,0.51,3.42,0.74,9.2,5
7.4,0.63,3.43,0.76,9.7,6
7.8,0.54,3.41,0.74,9.2,6
8.3,0.66,3.31,0.54,9.6,6
7.8,0.46,3.43,0.74,9.2,6
9.6,0.38,3.19,0.7,10,7
5.6,0.85,3.56,0.82,12.9,8
13.7,0.415,3.06,0.8,10,6
9.5,0.37,3.18,0.51,9.5,5
8.4,0.665,3.16,0.54,9.1,5
12.7,0.6,3.03,0.57,9.9,5
12,0.37,3.22,0.6,13,7
6.6,0.735,3.47,0.53,9.9,5
11.5,0.59,3.18,0.65,11,6
11.5,0.59,3.18,0.65,11,6
8.7,0.765,3.1,0.55,9.4,5
6.6,0.735,3.47,0.53,9.9,5
7.7,0.26,3.29,0.47,10.8,6
12.2,0.48,3.1,0.61,10.5,6
11.4,0.6,3.15,0.63,10.5,6
7.7,0.69,3.26,0.61,9.1,5
8.7,0.31,3.36,0.76,10.1,6
9.8,0.44,3.24,0.65,10.8,6
12,0.39,3.18,0.63,10.8,7
10.4,0.34,3.19,0.7,11.3,6
12.5,0.46,3.05,0.57,9.6,4
9,0.43,3.38,0.62,9.5,6
9.1,0.45,3.38,0.62,9.5,5
7.1,0.735,3.27,0.64,9.3,5
9.9,0.4,3.27,0.82,11.7,7
8.8,0.52,3.26,0.61,9.5,5
8.6,0.725,3.32,1.07,9.3,5
10.6,0.48,3.26,0.66,11.7,6
7,0.58,3.44,0.48,10.5,5
11.9,0.38,3.24,0.76,10.4,6
6.8,0.77,3.62,0.68,9.9,5
9.5,0.56,3.28,0.73,11.8,7
6.6,0.84,3.52,0.56,12.3,7
7.7,0.96,3.36,0.44,10.9,5
10.5,0.24,3.15,0.9,11,7
7.7,0.96,3.36,0.44,10.9,5
6.6,0.84,3.52,0.56,12.3,7
6.4,0.67,3.49,0.49,11.4,6
9.5,0.78,3.26,0.56,10.6,6
9.1,0.52,3.24,0.6,9.3,5
12.8,0.84,3.1,0.6,10.4,6
10.5,0.24,3.15,0.9,11,7
7.8,0.55,3.25,0.56,9.2,5
11.9,0.37,3,0.65,12.8,6
12.3,0.39,3.16,0.49,9.5,5
10.4,0.41,3.15,0.89,9.9,6
12.3,0.39,3.16,0.49,9.5,5
8,0.67,3.26,0.56,10.2,6
11.1,0.45,3.17,0.66,11.2,6
10.4,0.41,3.15,0.89,9.9,6
7,0.62,3.08,0.6,9.3,5
12.6,0.31,2.88,0.82,9.8,8
11.9,0.4,3.06,0.68,11.3,6
15.6,0.685,2.95,0.68,11.2,7
10,0.44,3.23,0.63,11.6,7
5.3,0.57,3.57,0.84,12.5,7
9.5,0.735,3.23,0.56,10.1,6
12.5,0.38,3.1,0.73,10.5,5
9.3,0.48,3.22,0.72,11.2,5
8.6,0.53,3.2,0.56,10.2,6
11.9,0.39,3.1,0.61,10.8,6
11.9,0.39,3.1,0.61,10.8,6
8.4,0.37,3.06,1.06,9.1,6
6.8,0.56,3.44,0.63,10,6
10.4,0.33,3.26,0.74,11.2,7
7,0.23,3.5,0.63,11.1,5
11.3,0.62,3.22,0.69,13.4,8
8.9,0.59,3.37,0.58,10.3,5
9.2,0.63,3.28,0.58,9.6,5
10.4,0.33,3.26,0.74,11.2,7
11.6,0.58,3.25,0.57,9,3
9.2,0.43,3.35,0.61,11.3,6
8.3,0.615,3.26,0.61,9.3,5
11,0.26,3.18,0.61,11.8,5
8.1,0.66,3.08,0.53,9,5
11.5,0.315,2.98,0.7,9.2,6
10,0.29,3.48,0.91,9.7,5
10.3,0.5,3.16,0.72,11.5,6
8.8,0.46,3.32,0.79,14,6
11.4,0.36,3.17,0.62,9.2,6
8.7,0.82,3.2,0.58,9.8,5
13,0.32,3.05,0.61,10.6,5
9.6,0.54,3.2,0.71,11.4,6
12.5,0.37,3.15,0.82,10.4,6
9.9,0.35,3.26,0.79,10.6,5
10.5,0.28,3.2,0.89,9.4,6
9.6,0.68,3.14,0.6,10.2,5
9.3,0.27,3.28,0.7,9.7,5
10.4,0.24,3.18,1.06,11,6
9.6,0.68,3.14,0.6,10.2,5
9.4,0.685,3.19,0.7,10.1,6
10.6,0.28,3.12,0.66,9.2,5
9.4,0.3,3.15,0.92,11.7,8
10.6,0.36,3.04,1.05,9.4,5
10.6,0.36,3.04,1.06,9.4,5
10.6,0.44,3.06,0.66,13.4,6
10.2,0.67,3.17,0.47,10,5
10.2,0.67,3.17,0.47,10,5
10.2,0.645,3.17,0.42,10,6
11.6,0.32,3.32,0.92,10.8,7
9.3,0.39,3.34,0.75,10.2,6
9.3,0.775,3.31,0.67,10.6,6
9.2,0.41,3.34,0.79,13.3,7
8.9,0.4,3.32,0.9,13.4,7
8.7,0.69,3.48,0.74,11.6,6
6.5,0.39,3.44,0.55,12.1,6
10.7,0.35,3.15,0.65,11,8
7.8,0.52,3.43,0.65,9,6
7.2,0.34,3.32,0.79,11.1,5
10.7,0.35,3.15,0.65,11,8
8.7,0.69,3.48,0.74,11.6,6
7.8,0.52,3.43,0.65,9,6
10.4,0.44,3.17,0.85,12,7
10.4,0.44,3.17,0.85,12,7
10.5,0.26,3.18,1.04,10.9,7
10.5,0.24,3.21,1.05,10.8,7
10.2,0.49,3.16,0.78,12.5,7
10.4,0.24,3.25,1.02,10.8,7
11.2,0.67,3.17,0.71,9.5,6
10,0.59,3.18,0.63,10.2,6
13.3,0.29,3.04,0.68,11.4,7
12.4,0.42,3.02,0.61,9.5,5
10,0.59,3.18,0.63,10.2,6
10.7,0.4,3.03,0.81,9.7,6
10.5,0.51,3.09,0.66,11.8,7
10.5,0.51,3.09,0.66,11.8,7
8.5,0.655,3.31,1.14,9.3,5
12.5,0.6,3.25,0.74,11.9,6
10.4,0.61,3.16,0.63,8.4,3
10.9,0.21,3.22,0.68,11.7,6
7.3,0.365,3.36,0.78,11,5
9.8,0.25,3.42,0.9,10,6
7.6,0.41,3.48,0.64,9.1,5
8.2,0.39,3.38,0.99,9.8,5
9.3,0.4,3.22,0.55,9.4,5
9.2,0.43,3.23,0.64,9.5,5
10.4,0.64,3.24,0.67,9.9,5
7.3,0.365,3.36,0.78,11,5
7,0.38,3.39,0.77,11.4,6
8.2,0.42,3.34,0.75,8.7,6
9.9,0.63,3.09,0.57,9.4,5
9.1,0.22,3.41,0.87,10.3,6
