fixed acidity,volatile acidity,pH,sulphates,alcohol,quality
11.9,0.38,3.16,0.61,10.3,5
11.9,0.38,3.16,0.61,10.3,5
10.3,0.27,3.22,0.66,12.8,6
10,0.48,3.28,0.56,10,6
9.1,0.22,3.41,0.87,10.3,6
9.9,0.63,3.09,0.57,9.4,5
8.1,0.825,3.37,0.77,10.7,6
12.9,0.35,3.2,0.66,12,7
11.2,0.5,3.22,0.62,11.2,5
9.2,0.59,3.26,0.67,9.6,5
9.5,0.46,3.21,0.73,11,6
9.3,0.715,3.12,0.59,9.9,5
11.2,0.66,3.06,0.72,11,6
14.3,0.31,2.86,0.79,8.4,6
9.1,0.47,3.08,0.59,9.1,5
7.5,0.55,3.45,0.78,9.5,6
10.6,0.31,3.26,0.86,10.7,6
12.4,0.35,3.12,0.75,10.4,6
9,0.53,3.27,0.61,9.4,6
6.8,0.51,3.33,0.56,9.5,6
9.4,0.43,3.19,0.73,10,6
9.5,0.46,3.12,0.74,10,6
5,1.04,3.74,0.62,11.5,5
15.5,0.645,2.92,0.74,11.1,5
15.5,0.645,2.92,0.74,11.1,5
10.9,0.53,3.07,0.56,11.7,6
15.6,0.645,2.92,0.74,11.1,5
10.9,0.53,3.07,0.56,11.7,6
13,0.47,3.3,0.68,12.7,6
12.7,0.6,3.14,0.57,11.4,5
9,0.44,3.23,0.58,9.2,5
9,0.54,3.08,0.61,9.2,5
7.6,0.29,3.31,0.61,10.1,6
13,0.47,3.3,0.68,12.7,6
12.7,0.6,3.14,0.57,11.4,5
8.7,0.7,3.32,0.6,9,6
8.7,0.7,3.32,0.6,9,6
9.8,0.5,3.31,0.79,10.7,6
6.2,0.36,3.57,0.57,11.7,6
11.5,0.35,3.32,0.91,11,6
6.2,0.36,3.57,0.57,11.7,6
10.2,0.24,3.14,0.61,10.4,5
10.5,0.59,3.3,0.56,9.6,4
10.6,0.34,3.19,0.7,10,6
12.3,0.27,3.2,0.8,10.2,6
9.9,0.5,3.34,0.52,10,4
8.8,0.44,3.3,0.6,9.5,5
8.8,0.47,3.29,0.6,9.8,5
10.6,0.31,3.14,0.51,9.8,6
12.3,0.5,3.19,0.44,9.6,5
12.3,0.5,3.19,0.44,9.6,5
11.7,0.49,3.19,0.43,9.2,5
12,0.28,2.98,0.66,9.9,7
11.8,0.33,3.3,0.76,10.7,7
7.6,0.51,3.47,0.66,9.6,6
11.1,0.31,3.12,1.02,10.6,7
7.3,0.73,3.26,0.59,9.3,5
5,0.42,3.72,0.74,14,8
10.2,0.29,3.05,0.74,10.5,7
9,0.45,3.35,0.57,9.7,5
6.6,0.39,3.12,0.5,11.5,6
9,0.45,3.35,0.57,9.7,5
9.9,0.49,3.29,0.58,9,5
7.9,0.72,3.4,0.53,9.5,5
8.9,0.595,3.27,0.57,9.3,5
12.4,0.4,3.04,0.6,9.3,6
11.9,0.58,3.09,0.63,10,6
8.5,0.585,3.2,0.48,9.8,6
12.7,0.59,3,0.7,9.3,6
8.2,0.915,3.26,0.47,10,4
13.2,0.46,3.1,0.56,9,6
7.7,0.835,3.3,0.52,9.3,5
13.2,0.46,3.1,0.56,9,6
8.3,0.58,3.17,0.62,9.1,6
8.3,0.6,3.31,0.59,9.2,6
9.4,0.41,3.34,0.79,12.2,7
8.8,0.48,3.31,0.53,10.5,6
10.1,0.65,3.32,0.64,10.4,6
6.3,0.36,3.56,0.52,12.7,6
8.8,0.24,3.39,0.54,9.2,5
13.2,0.38,2.98,0.54,9.4,5
7.5,0.64,3.32,0.6,10,6
8.2,0.39,3.26,0.74,9.8,5
9.2,0.755,2.87,1.36,10.2,6
9.6,0.6,3.5,0.57,9.7,5
9.6,0.6,3.5,0.57,9.7,5
11.5,0.31,3.03,0.93,9.8,6
11.4,0.46,3.13,0.7,10.2,5
11.3,0.37,3.09,0.8,9.3,5
8.3,0.54,3.27,0.61,9.4,5
8.2,0.56,3.28,0.62,9.4,5
10,0.58,3.13,0.55,9.5,5
7.9,0.51,3.49,0.96,12.1,6
6.8,0.69,3.46,0.72,10.2,5
6.8,0.69,3.46,0.72,10.2,5
8.8,0.6,3.36,0.49,9.1,5
8.8,0.6,3.36,0.49,9.1,5
8.7,0.54,3.27,0.6,9.3,6
7.6,0.685,3.21,0.61,9.3,5
8.7,0.54,3.27,0.6,9.3,6
10.4,0.28,3.25,0.63,9.5,5
7.6,0.41,3.32,0.57,10.5,6
10.1,0.935,3.43,0.64,11.3,4
7.9,0.35,3.27,0.58,9.5,5
8.7,0.84,3.27,0.55,9.7,5
9.6,0.88,3.24,0.53,9.4,5
9.5,0.885,3.24,0.53,9.4,5
7.7,0.915,3.35,0.65,10.2,7
8.9,0.29,3.18,1.36,10.3,6
9.9,0.54,3.39,0.62,9.4,5
9.5,0.59,3.46,0.63,9.5,5
9.9,0.54,3.39,0.62,9.4,5
9.5,0.59,3.46,0.63,9.5,5
9.9,0.54,3.39,0.62,9.4,5
7.8,0.64,3.37,0.69,10.1,7
7.3,0.67,3.4,0.63,10.1,5
8.3,0.845,3.32,0.58,11,4
8.7,0.48,3.33,0.67,11.2,7
6.7,0.42,3.16,0.57,11.3,6
10.7,0.43,2.89,0.5,9.6,5
9.8,0.88,3.41,0.67,11.2,5
15.9,0.36,2.98,0.84,14.9,5
9.4,0.33,3.12,0.54,12,6
8.6,0.47,3.08,0.46,9.5,5
9.7,0.55,3.14,0.61,9.4,5
10.7,0.43,2.89,0.5,9.6,5
12,0.5,2.92,0.68,10.5,7
7.2,0.52,3.32,0.81,9.6,6
7.1,0.84,3.41,0.57,11,4
7.2,0.52,3.32,0.81,9.6,6
7.5,0.42,3.31,0.64,9,5
7.2,0.57,3.36,0.7,9.6,6
10.1,0.28,3.04,0.79,10.2,6
12.1,0.4,3.03,0.66,10.2,5
9.4,0.59,3.14,0.56,9.7,5
8.3,0.49,3.18,0.6,9.5,6
11.3,0.34,2.94,0.66,9.2,6
10,0.73,3.15,0.57,11,5
11.3,0.34,2.94,0.66,9.2,6
6.9,0.4,3.26,0.58,10,5
8.2,0.73,3.2,0.52,9.5,5
9.8,1.24,3.15,0.53,9.5,5
8.2,0.73,3.2,0.52,9.5,5
10.8,0.4,3.08,0.67,9.3,6
9.3,0.41,3.26,0.65,10.2,5
10.8,0.4,3.08,0.67,9.3,6
8.6,0.8,3.4,0.48,9.9,5
8.3,0.78,3.48,0.53,10,5
10.8,0.26,3.13,0.54,9.6,5
13.3,0.43,3.06,0.49,9,5
8,0.45,3.21,0.49,10.2,6
8.5,0.46,3.33,0.54,9.8,5
8.1,0.78,3.37,0.56,11.3,5
9.8,0.98,3.25,0.48,9.4,5
8.1,0.78,3.37,0.56,11.3,5
7.1,0.65,3.44,0.6,9.1,5
9.1,0.64,3.28,0.59,9.7,5
7.7,0.66,3.4,0.47,9.4,5
8.1,0.38,3.3,1.05,9.4,5
7.4,1.185,3.63,0.54,10.7,3
9.2,0.92,3.48,0.54,9.8,5
8.6,0.49,3.03,1.17,9,5
9,0.48,3.32,0.62,9.4,5
9,0.47,3.31,0.61,9.4,5
5.1,0.47,3.9,0.62,12.8,6
7,0.65,3.47,0.67,9.5,6
7,0.65,3.47,0.67,9.5,6
9.4,0.615,3.31,0.53,9.7,5
11.8,0.38,3.11,0.62,10.8,6
10.6,1.02,3.08,0.57,10.1,6
7,0.65,3.47,0.67,9.5,6
7,0.64,3.47,0.67,9.4,6
7.5,0.38,3.32,0.7,9.6,4
9.1,0.765,3.29,0.54,9.7,4
8.4,1.035,3.37,0.49,9.9,5
7,0.78,3.4,0.47,10,5
7.4,0.49,3.37,0.51,10.5,5
7.8,0.545,3.34,0.61,11.6,6
9.7,0.31,3.27,0.66,10,6
10.6,1.025,3.06,0.57,10.1,5
8.9,0.565,3.38,0.61,9.5,5
8.7,0.69,3.36,0.45,9.4,5
8,0.43,3.34,0.46,9.4,5
9.9,0.74,3.28,0.51,9.8,5
7.2,0.49,3.29,0.48,9.2,6
8,0.43,3.34,0.46,9.4,5
7.6,0.46,3.21,0.57,10,5
8.4,0.56,3.22,0.44,9.6,5
7.1,0.66,3.46,0.54,9.5,5
8.4,0.56,3.22,0.44,9.6,5
8.9,0.48,3.1,0.53,9.2,5
7.6,0.42,3.21,0.59,10,5
7.1,0.31,2.94,1.62,9.5,5
7.5,1.115,3.54,0.6,11.2,4
9,0.66,3.29,0.55,10.4,5
8.1,0.72,3.43,0.72,11.1,6
6.4,0.57,3.46,0.68,9.5,5
6.4,0.57,3.46,0.68,9.5,5
6.4,0.865,3.61,0.49,12.7,6
9.5,0.55,3.17,0.67,9.6,5
8.9,0.875,3.44,0.52,11.5,5
7.3,0.835,3.39,0.47,9.6,5
7,0.45,3.55,0.6,9.5,5
7.7,0.56,3.48,0.62,9.3,5
7.7,0.965,3.26,0.5,9.5,5
7.7,0.965,3.26,0.5,9.5,5
8.2,0.59,3.5,0.65,9.3,6
9,0.46,3.1,0.56,9.2,5
9,0.69,3.35,0.6,9.3,5
8.3,0.76,3.45,0.68,11.5,6
9.2,0.53,3.21,0.57,9.5,5
6.5,0.615,3.46,0.65,9.2,5
11.6,0.41,3.13,0.53,10,5
11.1,0.39,3.13,0.51,9.5,5
7.3,0.51,3.52,0.73,9.5,6
8.2,0.34,3.3,0.47,9,6
8.6,0.33,3.3,0.48,9.4,5
7.2,0.5,3.52,0.72,9.6,6
7.3,0.51,3.52,0.73,9.5,6
8.3,0.65,3.29,0.55,9.5,5
8.3,0.65,3.29,0.55,9.5,5
7.6,0.54,3.39,0.61,9.4,5
8.3,0.65,3.29,0.55,9.5,5
7.8,0.48,3.09,1.06,9.1,6
7.8,0.91,3.51,0.43,10.7,6
6.3,0.98,3.6,0.46,11.2,6
8.1,0.87,3.25,0.5,9.8,5
8.1,0.87,3.25,0.5,9.8,5
8.8,0.42,3.19,0.52,9.2,5
9,0.58,3.23,0.57,9.7,5
9.3,0.655,3.25,0.42,9.6,5
8.8,0.7,3.31,0.53,10,6
9.3,0.655,3.25,0.42,9.6,5
9.1,0.68,3.31,0.55,9.5,6
9.2,0.67,3.31,0.54,9.5,6
8.8,0.59,3.14,0.54,9.4,5
7.5,0.6,3.45,0.62,9.5,5
7.1,0.59,3.55,0.53,9.7,6
7.9,0.72,3.39,0.54,9.6,5
7.1,0.59,3.55,0.53,9.7,6
9.4,0.685,3.28,0.55,9.4,5
9.5,0.57,3.27,0.55,9.4,5
7.9,0.4,3.3,0.92,9.5,6
7.9,0.4,3.31,0.91,9.5,6
7.2,1,3.43,0.46,10,5
6.9,0.765,3.4,0.6,10.3,6
6.9,0.635,3.4,0.59,10.3,6
8.3,0.43,3.36,0.61,10.5,5
7.1,0.52,3.5,0.6,9.8,5
7,0.57,3.31,0.6,9.4,6
6.5,0.46,3.66,0.65,9.8,5
9,0.82,3.36,0.53,10,5
6.5,0.46,3.66,0.65,9.8,5
7.1,0.59,3.55,0.59,9.8,5
9.9,0.35,3.21,0.5,9.5,5
9.9,0.35,3.21,0.5,9.5,5
10,0.56,3.18,0.56,10.1,6
10,0.56,3.18,0.56,10.1,6
8.6,0.63,3.09,0.52,9.3,5
7.4,0.37,3.33,0.68,9.7,6
8.8,0.64,3.23,0.54,9.6,5
7.1,0.61,3.48,0.6,9.7,6
7.7,0.6,3.38,0.56,10.8,5
10.1,0.27,3.17,0.53,12.5,6
10.8,0.89,2.99,1.18,10.2,5
8.7,0.46,3.1,0.74,9.6,5
9.3,0.37,3.24,0.81,10.8,7
9.4,0.5,3.29,0.52,10.7,6
9.4,0.5,3.29,0.52,10.7,6
7.2,0.61,3.25,0.51,9.4,5
8.6,0.55,3.23,0.44,10,5
5.1,0.585,3.56,0.94,12.9,7
7.7,0.56,3.24,0.66,9.6,6
8.4,0.52,3.26,0.57,9.9,6
8.2,0.28,3.33,0.7,12.8,7
8.4,0.25,3.27,0.71,12.5,7
8.2,0.28,3.33,0.7,12.8,7
7.4,0.53,3.26,0.86,9.2,5
7.6,0.48,3.22,0.55,10.3,6
7.3,0.49,3.3,0.47,10.5,5
12.9,0.5,3.09,0.68,10.9,6
10.8,0.45,3.24,0.71,10.8,5
6.9,0.39,3.44,0.58,11.4,4
12.6,0.41,3.21,0.76,11.3,6
10.8,0.45,3.24,0.71,10.8,5
9.8,0.51,3.23,0.58,10.5,6
10.8,0.29,3.28,0.73,11.9,6
7.1,0.715,3.29,0.45,9.4,5
9.1,0.66,3.28,0.54,9.6,5
7,0.685,3.34,0.6,9.7,5
4.9,0.42,3.71,0.74,14,7
6.7,0.54,3.61,0.64,9.8,5
6.7,0.54,3.61,0.64,9.8,5
7.1,0.48,3.24,0.53,10.3,5
7.1,0.46,3.36,0.49,10.7,5
7.5,0.27,3.4,0.64,11,7
7.1,0.46,3.36,0.49,10.7,5
7.8,0.57,3.46,0.74,12.7,8
5.9,0.61,3.56,0.77,11.1,6
7.5,0.685,3.38,0.55,10.9,4
5.9,0.61,3.56,0.77,11.1,6
10.4,0.44,3.38,0.86,9.9,3
11.6,0.47,3.38,0.86,9.9,4
8.8,0.685,3.32,0.47,9.4,5
7.6,0.665,3.39,0.51,9.3,5
6.7,0.28,3.26,0.39,11.7,7
6.7,0.28,3.26,0.39,11.7,7
10.1,0.31,3.24,0.83,11.2,7
6,0.5,3.46,0.47,10,5
11.1,0.42,3.24,0.77,12.1,7
6.6,0.66,3.45,0.63,10.3,5
10.6,0.5,3.23,0.72,10.9,6
7.1,0.685,3.28,0.62,9.4,5
9.9,0.25,3.18,0.83,10.6,6
6.4,0.64,3.59,0.66,9.8,5
6.4,0.64,3.59,0.66,9.8,5
7.4,0.68,3.5,0.7,9.9,6
6.4,0.64,3.59,0.66,9.8,5
6.4,0.63,3.58,0.66,9.8,5
9.3,0.43,3.28,0.55,9.5,5
9.3,0.43,3.28,0.55,9.5,5
8,0.42,3.22,1.07,9.7,5
9.3,0.36,3.47,0.73,10.9,6
9.3,0.36,3.47,0.73,10.9,6
7.6,0.735,3.51,0.71,11.7,7
9.3,0.36,3.47,0.73,10.9,6
8.2,0.26,3.4,0.78,11.3,7
11.7,0.28,3.15,0.67,10.6,7
6.8,0.56,3.4,0.82,11.2,6
7.2,0.62,3.51,0.54,9.5,5
5.8,1.01,3.66,0.6,11.5,6
7.5,0.42,3.24,0.44,10.4,5
7.2,0.62,3.51,0.53,9.7,5
7.2,0.62,3.51,0.54,9.5,5
7.2,0.635,3.51,0.54,9.7,5
6.8,0.49,3.41,0.83,11.3,6
6.9,0.51,3.4,0.84,11.2,6
6.8,0.56,3.4,0.82,11.2,6
7.6,0.63,3.44,0.64,10.9,6
7.7,0.715,3.41,0.57,11.8,6
6.9,0.56,3.53,0.57,10.6,5
7.3,0.35,3.43,0.54,10,4
9.1,0.21,3.23,0.58,11.1,7
10.4,0.38,3.12,0.65,11.8,7
8.8,0.31,3.31,0.79,11.8,7
7.1,0.47,3.4,0.58,10.9,4
7.7,0.715,3.41,0.57,11.8,6
8.8,0.61,3.22,0.5,10,6
7.2,0.6,3.53,0.55,9.5,5
9.2,0.56,3.15,0.49,9.9,5
7.6,0.715,3.48,0.65,11.4,6
8.4,0.31,3.22,0.78,12,6
7.2,0.6,3.53,0.55,9.5,5
8.8,0.61,3.22,0.5,10,6
8.9,0.75,3.34,0.64,10.5,5
9,0.8,3.33,0.65,10.4,6
10.7,0.52,3.15,0.79,12.1,7
6.8,0.57,3.43,0.56,11.2,6
10.7,0.9,3.22,0.68,9.3,5
7.2,0.34,3.44,0.58,10.1,5
7.2,0.66,3.53,0.57,9.7,5
10.1,0.45,3.22,0.65,9.3,6
7.2,0.66,3.53,0.57,9.7,5
7.2,0.63,3.53,0.58,9.8,6
7.1,0.59,3.42,0.58,10.7,6
8.3,0.31,3.31,0.77,12.5,7
7.1,0.59,3.42,0.58,10.7,6
8.3,0.31,3.31,0.77,12.5,7
8.3,1.02,3.48,0.49,11,3
8.9,0.31,3.4,0.69,11.8,5
7.4,0.635,3.58,0.69,10.8,7
7.4,0.635,3.58,0.69,10.8,7
6.8,0.59,3.41,0.59,10.8,7
6.8,0.59,3.41,0.59,10.8,7
9.2,0.58,3.23,0.59,9.5,5
7.2,0.54,3.39,0.71,11,5
6.1,0.56,3.59,0.54,11.5,6
7.4,0.52,3.43,0.59,10.8,6
7.3,0.305,3.29,0.52,11.5,6
9.3,0.38,3.23,0.57,13.2,6
9.1,0.28,3.18,0.6,10.9,6
10,0.46,3.33,0.62,12.2,6
9.4,0.395,3.27,0.64,12.2,7
7.3,0.305,3.29,0.52,11.5,6
8.6,0.315,3.27,0.67,11.9,6
5.3,0.715,3.62,0.61,11,5
6.8,0.41,3.38,0.64,10.1,6
8.4,0.36,3.3,0.72,11,6
8.4,0.62,3.38,0.89,11.8,6
9.6,0.41,3.24,0.56,10.5,5
8.4,0.36,3.3,0.72,11,6
8.4,0.62,3.38,0.89,11.8,6
6.8,0.41,3.38,0.64,10.1,6
8.6,0.47,3.18,0.8,11.2,5
8.6,0.22,3.47,0.87,11,7
9.4,0.24,3.47,0.9,10.2,6
8.4,0.67,3.2,0.59,9.2,4
8.6,0.47,3.18,0.8,11.2,5
8.7,0.33,3.3,0.73,12,7
6.6,0.61,3.69,0.73,10.5,5
7.4,0.61,3.48,0.65,9.8,5
7.6,0.4,3.45,0.59,9.5,6
7.4,0.61,3.48,0.65,9.8,5
6.6,0.61,3.69,0.73,10.5,5
8.8,0.3,3.39,0.72,11.8,6
8.8,0.3,3.39,0.72,11.8,6
12,0.63,3.07,0.6,10.4,4
7.2,0.38,3.34,0.72,12.9,7
6.2,0.46,3.61,0.54,11.4,5
9.6,0.33,3.36,0.76,12.4,7
9.9,0.27,3.19,0.52,12.5,7
10.1,0.43,3.22,0.64,10,7
9.8,0.5,3.24,0.6,9.7,7
8.3,0.3,3.27,0.64,12.1,7
10.2,0.44,3.14,0.79,11.1,7
10.2,0.44,3.29,0.99,12,7
8.3,0.28,3.26,0.62,12.4,7
8.9,0.12,3.41,0.76,11.9,7
8.9,0.12,3.41,0.76,11.9,7
8.9,0.12,3.41,0.76,11.9,7
8.3,0.28,3.26,0.62,12.4,7
8.2,0.31,3.31,0.68,11.2,7
10.2,0.34,3.2,0.69,12.1,7
7.6,0.43,3.44,0.54,12.2,6
8.5,0.21,3.36,0.67,10.4,5
9,0.36,3.31,0.62,11.3,6
9.5,0.37,3.29,0.58,11.1,6
6.4,0.57,3.47,0.71,11.3,7
8,0.59,3.36,0.61,10,5
8.5,0.47,3.16,0.85,11.1,6
7.1,0.56,3.27,0.62,9.3,5
6.6,0.57,3.38,0.69,9.5,5
8.8,0.27,3.15,0.69,11.2,6
8.5,0.47,3.16,0.85,11.1,6
8.3,0.34,3.34,0.86,11,6
9,0.38,3.13,0.58,11.9,7
8.5,0.66,3.13,0.48,9.2,5
9,0.4,3.2,0.6,12.2,6
6.7,0.56,3.46,0.61,10.2,5
10.4,0.26,3.33,0.87,10.9,6
10.4,0.26,3.33,0.87,10.9,6
10.1,0.38,3.22,0.65,11.6,7
8.5,0.34,3.52,0.63,10.7,5
8.8,0.33,3.3,0.62,12.1,7
7.2,0.41,3.44,0.52,9.4,5
7.2,0.41,3.44,0.52,9.4,5
8.4,0.59,3.15,0.5,9.1,5
7,0.4,3.28,0.49,11.3,7
12.2,0.45,3.13,0.63,10.4,5
9.1,0.5,3.32,0.71,10.5,6
9.5,0.86,3.25,0.62,10,5
7.3,0.52,3.34,0.82,12.9,6
9.1,0.5,3.32,0.71,10.5,6
12.2,0.45,3.13,0.63,10.4,5
7.4,0.58,3.45,0.58,11.3,6
9.8,0.34,3.19,0.55,11.4,7
7.1,0.36,3.44,0.5,9.4,5
7.7,0.39,3.16,0.49,9.4,5
9.7,0.295,3.14,0.51,10.9,6
7.7,0.39,3.16,0.49,9.4,5
7.1,0.34,3.45,0.48,9.4,5
6.5,0.4,3.36,0.48,9.4,6
7.1,0.34,3.45,0.48,9.4,5
10,0.35,3.15,0.43,9.4,5
7.7,0.6,3.39,0.62,10.1,6
5.6,0.66,3.71,0.63,12.8,7
5.6,0.66,3.71,0.63,12.8,7
8.9,0.84,3.12,0.48,9.1,6
6.4,0.69,3.47,0.53,12.9,6
7.5,0.43,3.44,0.72,11.5,7
9.9,0.35,3.26,0.82,10.6,7
9.1,0.29,3.26,0.84,11.7,7
6.8,0.36,3.36,0.55,12.8,7
8.2,0.43,3.25,0.54,10.3,5
6.8,0.36,3.36,0.55,12.8,7
9.1,0.29,3.26,0.84,11.7,7
9.1,0.3,3.26,0.84,11.7,7
8.9,0.35,3.23,0.7,12,7
9.6,0.5,3.18,0.68,10.9,5
8.9,0.28,3.25,0.55,12.3,7
8.9,0.32,3.17,0.55,10.4,6
7.7,1.005,3.23,0.48,10,5
7.5,0.71,3.38,0.58,10,6
8,0.58,3.22,0.58,11.2,6
10.5,0.39,3.06,0.84,11.4,6
8.9,0.38,3.27,0.75,12.6,7
8,0.18,2.89,0.44,12.7,6
8,0.18,2.89,0.44,12.7,6
7,0.5,3.53,0.61,10.4,5
11.3,0.36,3.2,0.53,11.9,6
11.3,0.36,3.2,0.53,11.9,6
7,0.51,3.35,0.54,10.5,5
8.2,0.32,3.27,0.55,12.3,6
7.7,0.58,3.32,0.56,10.5,7
8.6,0.83,3.33,0.6,10.4,6
7.9,0.31,3.41,0.56,12.6,6
6.4,0.795,3.49,0.52,11.6,5
7.2,0.34,3.37,0.54,10.1,6
7.7,0.58,3.32,0.56,10.5,7
7.1,0.59,3.42,0.55,11.5,7
7.3,0.55,3.35,0.58,11,7
8.1,0.82,3.36,0.53,9.6,5
7.5,0.57,3.3,0.59,10.4,6
8.9,0.745,3.2,0.47,9.7,6
10.1,0.37,3.17,0.65,10.6,7
7.6,0.31,3.22,0.59,12.5,7
7.3,0.91,3.35,0.56,9.2,5
8.7,0.41,3.24,0.77,12.6,7
8.9,0.5,3.33,0.83,11.1,6
7.4,0.965,3.58,0.67,10.2,5
6.9,0.49,3.38,0.64,9.8,6
8.9,0.5,3.33,0.83,11.1,6
9.5,0.39,3.29,0.81,10.9,7
6.4,0.39,3.36,0.62,12.2,6
6.9,0.44,3.32,0.58,11.4,6
7.6,0.78,3.31,0.62,10.7,6
7.1,0.43,3.49,0.64,10.4,5
9.3,0.49,3.27,0.78,10.9,6
9.3,0.5,3.27,0.77,10.8,6
7.1,0.43,3.49,0.64,10.4,5
8.5,0.46,3.03,1.34,9.2,5
5.6,0.605,3.56,0.55,12.9,5
8.3,0.33,3.38,0.77,12.7,7
8.2,0.64,3.13,0.62,9.1,6
8.2,0.64,3.13,0.62,9.1,6
8.9,0.48,3.21,0.59,12.1,7
7.6,0.42,3.15,0.57,9.1,5
9.9,0.53,3.19,0.76,11.6,7
8.9,0.48,3.21,0.59,12.1,7
11.6,0.23,3.14,0.7,9.9,6
9.1,0.4,3.21,0.69,12.5,8
8,0.38,3.3,0.64,11.4,6
10.2,0.29,3.22,0.63,11.8,6
