fixed acidity,volatile acidity,pH,sulphates,alcohol,quality
8.2,0.74,3.28,0.57,11.8,6
7.7,0.61,3.29,0.6,10.2,6
6.6,0.52,3.4,0.72,12.5,7
11.1,0.31,3.02,0.83,10.9,7
11.1,0.31,3.02,0.83,10.9,7
8,0.62,3.31,0.62,10.8,5
9.3,0.33,3.18,0.89,11.1,7
7.5,0.77,3.2,0.58,9.2,5
7.2,0.35,3.4,0.58,9.5,6
8,0.62,3.31,0.58,10.7,6
7.5,0.77,3.2,0.58,9.2,5
9.1,0.25,3.44,0.86,10.2,7
9.9,0.32,3.15,0.73,11.4,6
8.6,0.37,3.27,0.58,11,5
8.6,0.37,3.27,0.58,11,5
7.9,0.3,3.01,0.51,12.3,7
10.3,0.27,3.16,0.51,11.8,6
7.9,0.3,3.01,0.51,12.3,7
7.2,0.38,3.42,0.59,9.5,6
8.7,0.42,3.33,0.77,12,6
7.2,0.38,3.42,0.59,9.5,6
6.8,0.48,3.12,0.49,9.6,5
8.5,0.34,3.38,0.66,11.6,7
7.9,0.19,3.29,0.69,11.2,6
11.6,0.41,3.02,0.76,9.9,7
11.6,0.41,3.02,0.76,9.9,7
10,0.26,2.98,0.63,11.8,8
7.9,0.34,3.35,0.6,11.4,6
7,0.54,3.43,0.59,11.5,6
9.2,0.31,3.33,0.86,12,7
6.6,0.725,3.35,0.49,10.8,6
9.4,0.4,3.15,0.5,10.5,5
6.6,0.725,3.35,0.49,10.8,6
8.6,0.52,3.2,0.52,9.4,5
8,0.31,3.15,0.81,12.5,7
8.6,0.52,3.2,0.52,9.4,5
8.4,0.34,3.11,0.78,12.4,6
7.4,0.49,3.35,0.63,12,6
6.1,0.48,3.45,0.54,11.2,6
7.4,0.49,3.35,0.63,12,6
8,0.48,3.28,0.66,12.4,6
6.3,0.57,3.41,0.6,12.8,5
8.2,0.23,3.21,0.54,12.3,6
9.1,0.3,3.27,0.85,11.7,7
8.1,0.78,3.36,0.49,9.5,5
10.8,0.47,3.17,0.76,10.8,6
8.3,0.53,3.25,0.64,10,6
5.4,0.42,3.78,0.64,12.3,7
7.9,0.33,3.29,0.71,11,6
8.9,0.24,3.12,0.59,9.5,6
5,0.4,3.49,0.66,13.6,6
7,0.69,3.38,0.6,11.3,6
7,0.69,3.38,0.6,11.3,6
7,0.69,3.38,0.6,11.3,6
7.1,0.39,3.3,0.53,13.3,6
5.6,0.66,3.52,0.58,12.9,5
7.9,0.54,3.2,0.72,13.1,8
6.6,0.5,3.44,0.55,12.3,6
6.3,0.47,3.45,0.48,12.3,6
10.7,0.4,3.12,0.65,11.2,6
6.5,0.58,3.62,0.62,11.5,4
8.8,0.24,3.14,0.59,11.3,7
5.8,0.29,3.39,0.54,13.5,6
6.3,0.76,3.51,0.6,11.5,6
10,0.43,3.22,0.68,10,5
10.5,0.43,3.21,0.69,10.5,6
9.1,0.6,3.18,0.63,10.4,6
5.9,0.19,3.32,0.44,9.5,5
7.4,0.36,3.38,0.88,13.6,7
7.2,0.48,3.37,0.68,11.2,7
8.5,0.28,3.3,0.74,11.8,7
8,0.25,3.38,0.6,11.9,6
10.4,0.52,3.22,0.76,11.4,6
10.4,0.52,3.22,0.76,11.4,6
7.5,0.41,3.14,0.58,9.1,5
8.2,0.51,3.34,0.64,9.5,6
7.3,0.4,3.41,0.65,9.5,6
8.2,0.38,3.27,0.85,11,6
6.9,0.45,3.3,0.65,11.4,6
7,0.22,3.61,0.82,10,6
7.3,0.32,3.43,0.62,10.1,5
8.2,0.2,3.53,0.81,10.4,6
7.8,0.5,3.28,0.87,9.8,6
10,0.41,3.21,0.49,11.8,7
7.8,0.39,3.39,0.66,11.6,6
10,0.35,3.23,0.52,12,6
8.2,0.33,3.3,0.76,12.8,7
6.1,0.58,3.46,0.65,12.5,6
8.3,0.6,3.15,0.53,9.8,5
9.6,0.42,3.23,0.66,11.1,6
6.6,0.58,3.59,0.68,11.4,6
8.3,0.6,3.15,0.53,9.8,5
8.5,0.18,3.33,0.76,11.8,7
5.1,0.51,3.46,0.87,12.9,7
6.7,0.41,3.42,1.16,10.6,6
10.2,0.41,3.16,0.67,10.8,5
10.6,0.36,3.14,0.72,11.1,7
8.8,0.45,3.21,0.75,10.2,6
8.5,0.32,3.14,0.71,11.8,7
9,0.785,3.29,0.67,10,5
9,0.785,3.29,0.67,10,5
8.5,0.44,3.01,1.1,9.4,5
9.9,0.54,2.94,0.98,10.2,5
8.2,0.33,3.32,0.88,12.4,7
6.5,0.34,3.21,0.56,12,6
7.6,0.5,3.32,0.62,11.5,6
9.2,0.36,3.2,0.67,10.5,6
7.1,0.59,3.42,0.68,10.8,6
9.7,0.42,3.27,0.74,12.3,6
7.6,0.36,3.46,0.62,9.5,6
7.6,0.36,3.46,0.62,9.5,6
6.5,0.61,3.61,0.7,11.5,6
6.5,0.88,3.58,0.5,11.2,4
7.1,0.66,3.35,0.66,12.7,7
5.6,0.915,3.68,0.73,11.4,5
8.2,0.35,3.27,0.81,11,6
8.2,0.35,3.27,0.81,11,6
9.8,0.39,3.19,0.46,11.4,5
10.2,0.4,3.38,0.86,10.5,6
6.8,0.66,3.29,0.6,9.3,5
6.7,0.64,3.36,0.7,10.9,5
7,0.43,3.33,0.46,11.9,6
6.6,0.8,3.52,0.5,12.2,5
7,0.43,3.33,0.46,11.9,6
6.7,0.64,3.36,0.7,10.9,5
8.8,0.955,3.3,0.44,9.6,4
9.1,0.4,3.28,0.57,12.5,6
6.5,0.885,3.56,0.51,10.8,5
7.2,0.25,3.52,0.8,12.4,7
6.4,0.885,3.56,0.51,10.8,5
7,0.745,3.22,0.59,9.5,6
6.2,0.43,3.52,0.6,9.5,6
7.9,0.58,3.21,0.58,9.5,6
7.7,0.57,3.16,0.54,9.8,6
7.7,0.26,3.15,0.79,10.9,6
7.9,0.58,3.21,0.58,9.5,6
7.7,0.57,3.16,0.54,9.8,6
7.9,0.34,3.27,0.54,11.2,7
8.6,0.42,3.35,0.69,11.7,8
9.9,0.74,3.14,0.55,9.4,5
7.2,0.36,3.4,0.85,11,7
7.2,0.36,3.4,0.85,11,7
7.2,0.36,3.4,0.85,11,7
9.9,0.72,3.35,0.94,10,5
7.2,0.36,3.4,0.85,11,7
6.2,0.39,3.45,0.87,11.2,7
6.8,0.65,3.35,0.62,10.4,6
6.6,0.44,3.32,0.62,9.3,5
6.8,0.65,3.35,0.62,10.4,6
9.6,0.38,3.15,0.75,10.5,6
10.2,0.33,3.1,0.48,10.4,6
8.8,0.27,3.26,0.56,11.3,6
7.9,0.57,3.29,0.69,9.5,6
8.2,0.34,3.23,0.81,12,6
8.2,0.4,3.24,0.69,10.6,6
9,0.39,3.2,0.83,10.9,6
10.9,0.32,3.28,0.77,11.5,6
10.9,0.32,3.28,0.77,11.5,6
8.1,0.53,3.26,0.46,9.6,6
10.5,0.36,3.23,0.76,12,6
12.6,0.39,3.07,0.82,10.3,6
9.2,0.46,3.15,0.51,9.4,5
7.5,0.58,3.02,0.47,9.2,5
9,0.58,3.27,0.72,9.6,5
5.1,0.42,3.68,0.73,13.6,7
7.6,0.43,3.4,0.64,9.5,5
7.7,0.18,3.37,0.78,11.8,6
7.8,0.815,3.38,0.62,10.8,5
7.6,0.43,3.4,0.64,9.5,5
10.2,0.23,3.23,0.49,9.3,4
7.1,0.75,3.39,0.4,12.8,6
6,0.33,3.3,0.56,11.5,4
7.8,0.55,3.26,0.64,9.4,6
7.1,0.75,3.39,0.4,12.8,6
8.1,0.73,3.38,0.46,9.6,4
6.5,0.67,3.45,0.56,11.8,4
7.5,0.61,3.1,0.4,9.3,5
9.8,0.37,3.16,0.59,9.8,5
9,0.4,3.22,0.6,12.2,6
8.3,0.56,3.37,0.62,9.5,5
5.9,0.29,3.33,0.54,10.3,6
7.4,0.55,3.49,0.68,10.5,5
7.4,0.74,3.12,0.48,10,5
7.4,0.55,3.49,0.68,10.5,5
6.9,0.41,3.41,0.75,11.1,6
7.1,0.6,3.4,0.61,10.9,6
7.1,0.6,3.4,0.61,10.9,6
7.5,0.58,3.28,0.59,9.8,5
7.1,0.72,3.45,0.58,9.8,5
7.9,0.66,3.43,0.58,9.5,5
7.8,0.7,3.4,0.69,10.9,5
6.1,0.64,3.47,0.45,11,5
7.5,0.59,3.1,0.42,9.2,5
7,0.58,3.32,0.7,11,6
6.8,0.64,3.44,0.63,11.3,6
6.8,0.64,3.44,0.63,11.3,6
8.6,0.635,3.02,1.15,9.3,5
6.3,1.02,3.59,0.55,11.2,4
9.8,0.45,3.15,0.58,9.8,5
8.2,0.78,3.37,0.46,9.6,4
8.5,0.37,3.38,0.72,11.8,6
7.2,0.57,3.38,0.6,10.3,6
7.2,0.57,3.38,0.6,10.3,6
10.4,0.43,3.1,0.87,11.4,6
6.9,0.41,3.47,0.55,9.5,6
5.5,0.49,3.5,0.82,14,8
5,0.38,3.7,0.75,14,6
7.3,0.44,3.38,0.57,11.7,6
5.9,0.46,3.5,0.53,11.2,5
7.5,0.58,3.1,0.43,9.3,5
7.8,0.58,3.24,0.53,11.2,6
8,0.715,3.24,0.54,9.5,6
8.5,0.4,3.28,0.56,12,4
7,0.69,3.35,0.6,9.7,6
8,0.715,3.24,0.54,9.5,6
9.8,0.3,3.14,0.57,11.5,7
7.1,0.46,3.37,0.64,10.4,6
7.1,0.46,3.37,0.64,10.4,6
7.9,0.765,3.33,0.68,10.9,6
8.7,0.63,3.26,0.63,10.2,6
7,0.42,3.39,0.56,10.9,5
11.3,0.37,3.15,0.57,10.5,5
7.1,0.16,3.35,0.54,12.4,6
8,0.6,3.22,0.37,13,5
7,0.6,3.3,1.17,10.2,5
7,0.6,3.3,1.17,10.2,5
7.6,0.74,3.36,0.59,11,5
8.2,0.635,3.29,0.75,10.9,6
5.9,0.395,3.62,0.67,12.4,6
7.5,0.755,3.34,0.49,9.7,4
8.2,0.635,3.29,0.75,10.9,6
6.6,0.63,3.2,0.45,9.5,5
6.6,0.63,3.2,0.45,9.5,5
7.2,0.53,3.35,0.61,12.1,6
5.7,0.6,3.45,0.56,12.2,6
7.6,1.58,3.5,0.4,10.9,3
5.2,0.645,3.78,0.61,12.5,6
6.7,0.86,3.6,0.74,11.7,6
9.1,0.37,3.3,0.8,11.2,6
8,0.28,3.36,0.66,11.2,5
7.6,0.79,3.12,0.44,9.2,5
7.5,0.61,3.3,0.53,9.8,5
9.7,0.69,3.29,0.62,10.1,5
6.8,0.68,3.41,0.52,11.1,4
9.7,0.69,3.29,0.62,10.1,5
7,0.62,3.28,0.61,9.2,5
7.5,0.61,3.3,0.53,9.8,5
6.5,0.51,3.33,0.59,12.8,6
8,1.18,3.34,0.47,10.5,5
7,0.36,3.4,0.54,10.1,6
7,0.36,3.4,0.53,10.1,6
7.5,0.63,3.26,0.58,9.8,6
5.4,0.74,4.01,0.59,12.5,6
9.9,0.44,3.18,0.69,11.9,6
7.5,0.63,3.26,0.58,9.8,6
9.1,0.76,2.9,1.33,9.1,6
9.7,0.66,3.26,0.66,10.1,5
5,0.74,4.01,0.59,12.5,6
9.1,0.34,3.18,0.55,11.4,5
9.1,0.36,3.18,0.82,11,7
6.7,0.46,3.39,0.6,10.6,6
6.7,0.46,3.39,0.6,10.6,6
6.7,0.46,3.39,0.6,10.6,6
6.7,0.46,3.39,0.6,10.6,6
6.5,0.52,3.34,0.52,9.3,5
7.4,0.6,3.29,0.56,9.8,6
7.4,0.6,3.29,0.56,9.8,6
7.8,0.87,3.26,0.46,9.2,5
8.4,0.39,3.09,0.43,9.7,6
9.1,0.775,3.18,0.51,9.6,5
7.2,0.835,3.39,0.52,10,5
6.6,0.58,3.38,0.66,12.6,6
6,0.5,3.36,0.45,9.5,5
6,0.5,3.36,0.45,9.5,5
6,0.5,3.36,0.45,9.5,5
7.5,0.51,3.36,0.54,10.5,6
7.5,0.51,3.36,0.54,10.5,6
7.5,0.51,3.36,0.54,10.5,6
7.6,0.54,3.37,0.51,10.4,6
7.5,0.51,3.36,0.54,10.5,6
11.5,0.42,3.09,0.53,11,5
8.2,0.44,3.25,0.53,10.2,6
6.1,0.59,3.52,0.56,11.4,5
7.2,0.655,3.34,0.39,9.5,5
7.2,0.655,3.34,0.39,9.5,5
6.9,0.57,3.41,0.52,10.8,5
9,0.6,3.34,0.57,10,5
7.2,0.62,3.32,0.51,11.8,6
7.6,0.645,3.37,0.46,10.3,5
7.6,0.645,3.37,0.46,10.3,5
7.2,0.58,3.35,0.52,10,5
6.1,0.32,3.36,0.44,10.1,5
6.1,0.34,3.36,0.44,10.1,5
7.3,0.43,3.6,0.59,11.1,6
7.4,0.64,3.28,0.5,9.5,5
11.6,0.475,3.07,0.65,10.03333333,6
9.2,0.54,3.24,0.56,10.9,5
8.3,0.85,3.36,0.54,10.1,5
11.6,0.475,3.07,0.65,10.03333333,6
8,0.83,3.29,0.48,9.8,4
7.2,0.605,3.46,0.53,11.8,6
7.8,0.5,3.18,0.62,9.5,5
7.3,0.74,3.24,0.5,9.8,5
6.9,0.54,3.25,1.18,10.5,6
8,0.77,3.27,0.5,9.8,6
6.6,0.61,3.33,0.37,10.4,4
8.7,0.78,3,1.17,9.2,5
7.5,0.58,3.21,1.03,11.6,6
8.7,0.78,3,1.17,9.2,5
7.7,0.75,3.24,0.45,9.3,5
6.8,0.815,3.32,0.51,9.8,3
7.2,0.56,3.26,0.52,9.9,5
8.2,0.885,3.11,0.46,10,5
5.2,0.49,3.71,0.62,12.2,6
7.2,0.45,3.29,0.51,9.9,6
7.5,0.57,3.36,0.62,10.8,6
7.5,0.57,3.36,0.62,10.8,6
6.8,0.83,3.38,0.45,9.6,5
8,0.6,3.3,0.49,9.9,5
8,0.6,3.3,0.49,9.9,5
7.1,0.755,3.19,0.5,9.5,5
8,0.81,3.19,0.42,9.2,5
7.4,0.64,3.3,0.58,9.6,5
7.4,0.64,3.3,0.58,9.6,5
6.6,0.64,3.35,0.68,10.3,5
6.7,0.48,3.1,0.53,9.7,5
6,0.49,3.58,0.59,12.5,6
8,0.64,3.37,0.58,11,5
7.1,0.62,3.17,0.48,9.8,5
8,0.52,3.3,0.48,10.2,5
6.4,0.57,3.32,0.48,9.2,5
8.6,0.685,3.31,0.65,9.55,6
8.7,0.675,3.31,0.65,9.55,5
7.3,0.59,3.28,0.52,9.9,5
7,0.6,3.52,0.62,10.2,7
7.2,0.67,3.42,0.72,11.1,6
7.9,0.69,3.25,0.51,9.9,5
7.9,0.69,3.25,0.51,9.9,5
7.6,0.3,3.44,0.82,11.9,6
7.2,0.33,3.23,1.1,10,8
8,0.5,3.43,0.62,10.7,6
7.7,0.28,3.28,0.9,11.3,7
8.2,0.24,3.22,0.94,10.9,6
6,0.51,3.54,0.93,10.7,6
8.1,0.29,3.27,1.01,12.4,7
6,0.51,3.54,0.93,10.7,6
6.6,0.96,3.5,0.44,11.9,6
6.4,0.47,3.56,0.73,10.6,6
8.2,0.24,3.22,0.94,10.9,6
9.9,0.57,3.04,0.9,10.1,5
10,0.32,3.2,0.78,9.6,5
6.2,0.58,3.56,0.84,9.4,5
10,0.32,3.2,0.78,9.6,5
7.3,0.34,3.35,0.77,12.1,7
7.8,0.53,3.16,0.46,9.8,5
7.7,0.64,3.27,0.45,9.9,5
7.8,0.53,3.16,0.46,9.8,5
7.5,0.4,3.34,0.58,9.4,5
7,0.54,3.39,0.84,11.4,6
6.4,0.53,3.5,0.67,11,4
8.3,0.26,3.26,0.7,9.6,6
8.3,0.26,3.26,0.7,9.6,6
7.7,0.23,3.41,0.71,12.1,6
7.6,0.41,3.3,0.58,11.2,5
7.8,0.64,3.31,0.63,11,5
7.9,0.18,3.33,0.93,11.3,5
7.4,0.41,3.37,0.62,10.4,5
7.6,0.43,3.26,0.54,9.9,6
5.9,0.44,3.48,0.85,11.7,6
6.1,0.4,3.42,0.74,10.1,7
10.2,0.54,3.18,0.77,9,6
10.2,0.54,3.18,0.77,9,6
10,0.38,3.15,0.65,8.5,5
6.8,0.915,3.53,0.54,11.1,5
7,0.59,3.41,0.47,10.3,5
7.3,0.67,3.32,0.68,11.06666667,6
7.2,0.37,3.23,0.73,11.3,7
7.4,0.785,3.16,0.52,9.566666667,6
6.9,0.63,3.4,0.75,9.8,5
6.9,0.58,3.38,0.49,11.7,5
7.3,0.67,3.32,0.68,11.1,6
7.4,0.785,3.16,0.52,9.6,6
6.9,0.63,3.4,0.75,9.8,5
6.8,0.67,3.4,0.74,9.7,5
6.9,0.58,3.4,0.73,9.7,5
7.2,0.38,3.23,0.76,11.3,8
7.2,0.37,3.23,0.73,11.3,7
7.8,0.32,3.33,0.78,11,7
6.6,0.58,3.35,0.76,11.6,7
7.6,0.49,3.41,0.58,9,5
11.7,0.45,3.21,0.69,10.9,6
6.5,0.9,3.5,0.63,10.9,6
6,0.54,3.3,0.5,10.55,6
7.6,0.49,3.41,0.58,9,5
8.4,0.29,3.39,0.6,10.5,5
7.9,0.2,3.32,0.8,11.9,7
6.4,0.42,3.41,0.68,10.4,6
6.2,0.785,3.59,0.61,10,4
6.8,0.64,3.36,0.58,10.4,6
6.9,0.63,3.34,0.53,10.8,6
6.8,0.59,3.41,0.67,9.7,5
6.8,0.59,3.41,0.67,9.7,5
7.3,0.48,3.3,0.65,10,7
6.7,1.04,3.52,0.57,11,4
7.3,0.48,3.3,0.65,10,7
7.3,0.98,3.31,0.55,9.7,3
10,0.69,2.88,0.47,9.7,5
6.7,0.7,3.43,0.52,12.6,5
7.6,0.35,3.38,0.79,11.1,6
6.1,0.6,3.38,0.54,11,5
9.9,0.5,3.16,0.75,8.8,5
5.3,0.47,3.54,0.88,13.56666667,7
9.9,0.5,3.16,0.75,8.8,5
5.3,0.47,3.54,0.88,13.6,7
7.1,0.875,3.4,0.52,10.2,3
8.2,0.28,3.39,0.68,10.6,5
5.6,0.62,3.66,0.62,10.1,4
8.2,0.28,3.39,0.68,10.6,5
7.2,0.58,3.33,0.57,10.3,4
8.1,0.33,3.35,0.61,10.7,5
6.8,0.91,3.53,0.64,10.9,4
7,0.655,3.37,0.55,9.7,5
6.8,0.68,3.38,0.6,10.3,5
6,0.64,3.52,0.78,10.6,5
5.6,0.54,3.72,0.58,11.4,5
6.2,0.57,3.44,0.76,10.8,6
7.1,0.22,3.39,0.56,12.4,6
5.6,0.54,3.72,0.58,11.4,5
6.2,0.65,3.57,0.54,11.95,5
7.7,0.54,3.26,0.59,9.7,5
6.4,0.31,3.42,0.7,10,7
7,0.43,3.35,0.81,10.6,6
7.7,0.54,3.26,0.59,9.7,5
6.9,0.74,3.45,0.63,11.5,6
6.6,0.895,3.53,0.58,10.8,6
6.9,0.74,3.45,0.63,11.5,6
7.5,0.725,3.26,0.53,9.6,5
7.8,0.82,3.16,0.53,9.4,5
7.3,0.585,3.31,0.54,9.8,5
6.2,0.44,3.51,0.69,11,6
7.5,0.38,3.36,0.55,11.4,6
6.7,0.76,3.55,0.63,9.95,3
6.8,0.81,3.51,0.66,10.8,6
7.5,0.38,3.36,0.55,11.4,6
7.1,0.27,3.38,0.72,10.6,6
7.9,0.18,3.28,0.7,11.1,5
6.4,0.36,3.47,0.77,9.7,6
7.1,0.69,3.44,0.67,9.8,5
6.4,0.79,3.53,0.65,10.4,6
6.4,0.56,3.33,0.6,10.5,6
6.9,0.84,3.53,0.72,9.233333333,6
6.9,0.84,3.53,0.72,9.25,6
6.1,0.32,3.42,0.97,10.6,5
6.5,0.53,3.38,0.83,10.3,6
7.4,0.47,3.32,0.63,10.5,5
6.6,0.7,3.44,0.58,10.2,5
6.5,0.53,3.38,0.83,10.3,6
6.9,0.48,3.39,0.43,9.05,4
6.1,0.32,3.42,0.97,10.6,5
6.8,0.48,3.34,0.6,10.4,5
6,0.42,3.39,0.78,10,6
6.7,0.48,3.33,0.64,9.7,5
6.8,0.47,3.3,0.65,9.6,6
7.1,0.53,3.29,0.66,10.8,6
7.9,0.29,3.31,0.67,10.1,6
7.1,0.69,3.42,0.6,10.2,6
6.6,0.44,3.42,0.69,11.3,6
6.1,0.705,3.6,0.66,10.2,5
7.2,0.53,3.21,0.68,9.9,6
8,0.39,3.39,0.61,9,5
6.6,0.56,3.42,0.62,11.7,7
7,0.55,3.36,0.59,9.7,6
6.1,0.53,3.6,0.68,10.3,6
5.4,0.58,3.5,0.64,10.2,6
6.2,0.64,3.57,0.63,12,5
7.2,0.39,3.46,0.78,9.9,5
6.2,0.52,3.56,0.63,11.6,6
7.4,0.25,3.4,0.76,10.9,7
6.7,0.855,3.3,0.56,10.75,6
11.1,0.44,3.25,0.57,10.4,6
8.4,0.37,3.17,0.81,11.2,7
6.5,0.63,3.36,0.64,10.1,6
7,0.57,3.36,0.61,10.2,5
6.3,0.6,3.55,0.51,12.1,5
11.2,0.4,3.1,0.58,10.4,5
7.4,0.36,3.24,0.7,11.4,8
7.1,0.68,3.45,0.53,9.5,5
7.1,0.67,3.44,0.54,9.4,5
6.3,0.68,3.51,0.66,11.3,6
7.3,0.735,3.41,0.6,9.4,5
6.6,0.855,3.54,0.6,11,6
7,0.56,3.44,0.68,10.55,7
6.6,0.88,3.53,0.56,9.9,5
6.6,0.855,3.54,0.6,11,6
6.9,0.63,3.22,0.56,9.5,5
7.8,0.6,3.21,0.52,9.9,5
7.8,0.6,3.21,0.52,9.9,5
7.8,0.6,3.21,0.52,9.9,5
7.2,0.695,3.29,0.54,10.1,5
7.2,0.695,3.29,0.54,10.1,5
7.2,0.695,3.29,0.54,10.1,5
6.7,0.67,3.39,0.82,10.9,6
6.7,0.16,3.34,0.71,11.2,6
7.2,0.695,3.29,0.54,10.1,5
7,0.56,3.34,0.59,9.2,5
6.2,0.51,3.48,0.57,11.5,6
6.4,0.36,3.37,0.93,12.4,6
6.4,0.38,3.44,0.65,11.1,6
7.3,0.69,3.33,0.51,9.5,5
6,0.58,3.58,0.67,12.5,6
5.6,0.31,3.39,0.48,10.5,6
7.5,0.52,3.26,0.64,11.8,6
8,0.3,3.3,0.78,10.8,6
6.2,0.7,3.54,0.6,11.9,6
6.8,0.67,3.42,0.67,11.3,6
6.2,0.56,3.54,0.6,11.3,5
7.4,0.35,3.36,0.6,11.9,6
6.2,0.56,3.54,0.6,11.3,5
6.1,0.715,3.57,0.5,11.9,5
6.2,0.46,3.33,0.62,9.8,5
6.7,0.32,3.29,0.8,11.6,7
7.2,0.39,3.3,0.84,11.5,6
7.5,0.31,3.34,0.85,11.4,6
5.8,0.61,3.55,0.66,10.9,6
7.2,0.66,3.27,0.78,12.8,6
6.6,0.725,3.29,0.54,9.2,5
6.3,0.55,3.32,0.82,11.6,6
5.4,0.74,3.67,0.56,11.6,6
6.3,0.51,3.42,0.75,11,6
6.8,0.62,3.42,0.82,9.5,6
6.2,0.6,3.45,0.58,10.5,5
5.9,0.55,3.52,0.76,11.2,6
6.3,0.51,3.42,0.75,11,6
5.9,0.645,3.57,0.71,10.2,5
6,0.31,3.39,0.66,11,6
